serial_id,accFoundMonthIncome,accFundGroupConsumeFinanceCnt,accFundGroupScoreCardCreditHistoryShortPer,accFundGroupScoreCardCreditWhiteUserFlag,accFundGroupScoreCardInqyOrgLoanCard3m,accFundGroupScoreCardIsCrossProvinceBehaviorAccFound,accFundGroupScoreCardIsLargeAgeAccFound,accFundGroupScoreCardIsVillageLargeAccFound,accFundGroupScoreCardNotBankLoanAccountCntRatio,accFundGroupScoreCardPbcV2ScoreInfoScore,accFundGroupScoreCardShortTermLoanCntAfterAccFound,accFundGroupScoreCardStability,ageDelqScore,ageDelqex,amtUseRatioAccountAvg,amtUseRatioMax,amtUseRatioSum,amtuseratioaccountmax,balanceMax,balanceMaxR2,balanceMinR2,balanceSum,balanceavg1r2,balanceavgr2,balancemin1r2,balancesumr2,baseInfoCompanyNature,baseInfoEduLevel,baseInfoEduLevelScore,baseInfoMaritalStatus,baseInfoMaritalStatusScore,baseV0300000AddressIsConsistent,baseV03007MobileCnt,baseV04002SpsCerttype,baseV0500000AddressCnt,baseV0500004AddressCnt,baseV0500005AddressCnt,baseV0500007AddressCnt,baseV0500025AddressCnt,baseV0500034ResidenceTypeCnt,baseV0500041ResidenceTypeCnt,baseV05003ResdType,baseV05004ResdMtypeOwn,baseV05005ResdMtypeOth,baseV05007ResdTypeC1,baseV05011ResdTypeC5,baseV05017ResdTypeCna,baseV0600002Company,baseV0600003StartYearCnt,baseV0600005Industry
CR202412100010800000006698,,5,0,,0,,0,0,,0,0,15,6,37,0.6595351272727273,1.0,0.25867244,,300000,191663,0,792174,,,,,20,30,6,30,4,0,2,10,4,3,1,400,3,1,2,9,2,0,2,0,0,3,-999,1
CR202412100010800000006830,,0,0,,0,,0,0,,0,0,15,-11,55,0.15715842076923076,0.71428571,0.13500856,,200000,46855,0,724246,,,,,99,90,0,90,4,0,3,10,4,3,1,484,3,1,1,1,2,0,1,0,0,4,13127,3
CR202412100010800000007214,,0,0,,0,,0,0,,0,0,15,-3,46,0.36315555666666666,0.31747059,0.14198089,,10794,10794,5548,16342,,,,,99,30,6,30,4,0,2,10,4,0,1,1266,0,1,0,2,3,0,1,0,0,3,-999,2
CR202412100010800000007345,,3,0,,0,,0,0,,0,0,0,6,39,0.3670929972222223,0.06645722,0.08731565,,119623,95244,0,496277,,,,,99,20,12,20,4,0,4,,4,3,1,729,3,2,1,1,2,1,1,0,0,4,6188,2
CR202412100010800000007808,,4,0,,0,15,0,0,20,0,0,15,-11,54,0.10392000000000001,0.11223,0.02179422,,11223,11223,0,11224,,,,,20,30,6,30,0,1,2,,5,4,1,496,4,1,1,7,2,1,1,1,0,4,-999,1
CR202412100010800000007883,,3,0,,0,15,0,0,,0,0,15,0,25,0.6970337966666666,1.0,0.52809021,,200000,51617,1414,504079,,,,,99,30,6,30,0,0,2,,5,4,0,507,4,3,0,9,0,1,0,1,0,3,-999,1
CR202412100010800000008369,,0,0,,0,,0,0,,0,0,30,-3,46,0.0993421475,0.210125,0.12392819,,8405,8405,0,11736,,,,,99,91,0,91,0,0,1,,5,1,1,1854,1,1,2,1,4,0,4,0,0,4,-999,2
CR202412100010800000008945,,4,0,,0,,0,0,20,0,0,15,-3,47,0.05169093222222223,0.62333333,0.09803292,,187000,0,0,191453,,,,,50,30,6,30,4,0,2,,5,4,0,602,4,2,0,9,0,0,0,0,0,4,-999,2
CR202412100010800000010752,,1,0,,0,,0,0,,0,0,15,0,33,0.249080134,0.17074,0.07511051,,34148,5719,0,39931,,,,,99,40,0,40,4,0,2,,5,2,1,835,4,0,0,11,1,1,0,0,0,4,-999,2
CR202412100010800000010820,,0,0,,0,,0,0,,0,0,15,2,45,0.7766666666666667,0.29125,0.17923022,,58250,58250,0,58250,,,,,50,90,0,90,4,0,1,,4,1,0,4130,1,1,0,7,0,0,0,0,0,3,-999,1
CR202412100010800000010872,,2,0,,0,,0,0,,0,0,15,6,38,0.9865385062500001,0.725655,0.42555244,,145131,145131,0,429682,,,,,99,91,0,91,4,0,1,10,5,4,1,609,4,1,1,2,2,1,1,0,0,4,-999,2
CR202412100010800000011908,,1,0,,0,,0,0,,0,0,0,2,43,0.04172526666666667,0.04829132,0.02300023,,10344,9163,0,20116,,,,,99,20,12,20,0,0,2,,3,0,1,1282,1,0,1,1,2,0,2,0,0,4,-999,0
CR202406210010800000000597,,3,0,,0,,0,0,20,0,0,15,-3,47,0.19941666600000002,0.66193333,0.36564883,,9929,0,0,12322,,,,,40,91,,91,,0,1,10,3,0,1,1875,0,0,0,3,2,1,2,0,0,2,6381,2
CR202406210010800000001123,,0,0,,0,,0,0,,0,0,15,2,41,0.5,1.0,0.66664445,,20000,0,0,20000,,,,,99,40,,40,,0,1,10,3,0,0,6381,0,0,0,9,0,1,0,1,0,2,-999,1
CR202406210010800000001141,,0,0,,0,,0,0,,0,0,15,6,38,,,,,,,,,,,,,40,40,,40,,0,1,10,2,0,1,949,1,0,1,4,1,1,1,0,0,0,1998,0
CR202406210010800000001702,,0,0,,0,,0,0,,0,0,30,2,41,0.31871213,0.76666667,0.11749969,,230000,51,0,476050,,,,,99,90,,90,,0,3,,5,3,0,744,4,2,0,9,0,0,0,0,0,4,4920,2
CR202406210010800000001866,,0,0,,0,,0,0,,0,0,15,0,34,0.0,0.0,0.0,,0,0,0,0,,,,,50,40,,40,,0,1,10,2,0,1,4209,0,0,0,9,1,0,1,0,0,1,-999,1
CR202406210010800000001933,,1,0,,0,,0,0,20,0,0,15,6,38,0.34371091333333337,0.31858407,0.25170701,,18000,0,0,19759,,,,,50,30,,30,,0,1,,1,0,0,1011,0,0,0,9,0,0,0,0,0,0,-999,0
CR202406210010800000002084,,4,0,,0,,0,0,,0,0,0,2,45,0.1542073688,0.815,0.17790654,,163000,51654,0,448504,,,,,40,20,,20,,0,1,,5,4,1,704,4,1,0,7,1,0,0,0,0,4,-999,2
CR202406210010800000002108,,1,0,,0,,0,0,,0,0,15,2,42,0.4551102157142857,0.38486,0.35509358,,76972,76972,0,220854,,,,,40,30,,30,,0,3,,4,3,0,844,3,0,0,9,0,0,0,0,0,4,-999,2
CR202406210010800000002715,,0,0,,0,,0,0,,0,0,15,2,44,,,,,,,,,,,,,,91,,91,,0,3,10,1,0,1,963,0,1,1,1,1,0,1,0,0,-999,-999,-999
CR202406210010800000003292,,2,0,,0,,0,0,20,0,0,15,-3,47,0.3464047975,0.97924667,0.50556579,,146887,50250,0,268961,,,,,99,30,,30,,0,2,,4,3,1,998,3,1,1,9,2,0,1,0,0,4,-999,2
CR202406210010800000003389,,1,0,,0,,0,0,20,0,0,15,2,43,0.0,0.0,0.0,,0,,,0,,,,,,,,,,0,1,,0,0,0,-999,0,0,0,,0,0,0,0,1,-999,-999,-999
CR202406210010800000003638,,1,0,,0,,0,0,,0,0,15,-3,47,0.03553846153846154,0.04869052,0.00446034,,2772,0,0,2772,,,,,20,30,,30,,0,1,,4,0,1,3593,0,0,0,2,3,0,1,0,0,2,-999,1
CR202406210010800000003694,,2,0,,0,,0,0,,0,0,0,6,40,0.054027540357142856,0.275,0.04880017,,55000,4244,0,118853,,,,,50,20,,20,,0,3,,4,3,1,316,3,2,1,9,1,1,1,0,0,4,-999,1
CR202406210010800000004059,,1,0,,0,,0,0,20,0,0,15,2,43,0.63914099375,0.82194545,0.67700609,,90414,90414,5362,244670,,,,,99,60,,60,,0,3,,5,0,1,1042,4,1,1,7,1,0,1,0,0,3,-999,1
CR202406210010800000004079,,0,0,,0,,0,0,,0,0,15,-3,49,0.17774673833333335,0.73224333,0.23365387,,219673,39721,0,335587,,,,,99,30,,30,,0,5,10,5,4,1,655,4,1,1,9,1,0,1,0,0,4,-999,1
CR202406210010800000004140,,1,0,,0,,0,0,,0,0,30,-3,49,0.2201875542857143,1.0,0.54497601,,100000,661,0,124963,,,,,99,91,,91,,0,1,,3,0,1,1845,1,1,1,1,1,0,1,0,0,1,-999,1
CR202406210010800000004335,,1,0,,0,,0,0,,0,0,15,0,32,0.18597799874999998,0.35652174,0.23853394,,32800,0,0,72911,,,,,99,60,,60,,0,1,,4,1,1,1107,2,1,0,7,1,0,1,0,0,1,1998,1
CR202406210010800000004645,,0,0,,0,15,0,0,,0,0,15,6,40,0.651250132,1.0,0.47931502,,250000,42617,0,884758,,,,,99,30,,30,,0,1,,4,1,1,963,3,0,1,9,1,1,1,0,0,4,1633,4
CR202406210010800000005031,,3,0,,0,,0,0,,0,0,15,0,34,0.3568746471428571,0.26185,0.1759114,,52370,52173,0,295744,,,,,50,99,,99,,0,2,,5,2,0,999,4,1,0,9,0,1,0,0,0,4,-999,2
CR202406210010800000005257,,2,0,,0,,0,0,,0,0,15,0,32,0.3337887033333333,0.63054015,0.31929417,,86384,21245,0,138877,,,,,99,30,,30,,0,1,,5,4,1,551,4,3,1,6,2,0,1,0,0,4,3459,2
CR202406210010800000005302,,0,0,,0,,0,0,,0,0,0,-3,47,0.8,0.32,0.13037278,,3200,,,3200,,,,,99,20,,20,,0,2,,1,0,1,5845,0,0,0,1,1,1,1,0,0,1,-999,-999
CR202406210010800000005500,,1,0,,0,15,0,0,,0,0,15,6,38,0.3125108241666667,1.0,0.73774603,,300000,29732,0,482781,,,,,99,40,,40,,0,2,10,3,2,1,378,2,2,0,9,1,0,0,0,0,2,1998,2
CR202406210010800000006395,,1,0,,0,,0,0,,0,0,15,-3,47,0.649665942857143,0.88648649,0.32003605,,164000,55902,0,248540,,,,,50,60,,60,,0,1,,4,2,0,897,3,2,0,9,0,1,0,1,0,4,8572,2
CR202402180010800000000225,,1,0,,0,,0,0,,0,0,0,-11,58,0.42093423750000003,1.0,0.55411573,,300000,108735,0,758795,,,,,99,20,,20,,0,1,10,4,2,1,754,3,1,3,3,4,1,3,0,0,3,5161,1
CR202402180010800000000612,,0,0,,0,,0,0,,0,0,15,2,42,0.22928803545454546,0.82984485,0.27774472,,58836,58836,0,115764,,,,,50,40,,40,,0,1,,4,3,1,690,3,0,0,9,2,0,0,0,0,4,-999,2
CR202402180010800000000808,,2,0,,0,,0,0,20,0,0,30,2,45,0.84733333,0.158875,0.08709655,,2542,,,2542,,,,,99,91,,91,,0,2,,3,0,1,2357,0,1,0,4,1,2,1,1,0,2,4065,2
CR202402180010800000001667,,0,0,,0,,0,0,,0,0,0,2,42,0.6130683299999999,0.26653199,0.27007725,,23748,0,0,99460,,,,,99,20,,20,,0,1,,5,0,0,4848,1,1,0,7,0,1,0,0,0,1,-999,1
CR202402180010800000001860,,2,0,,0,15,0,0,20,0,0,15,-11,56,0.5,1.0,0.72972973,,27000,,,27000,,,,,99,,,,,0,1,,1,0,0,67,0,1,0,9,0,0,0,0,0,0,-999,-999
CR202412070010800000000132,,0,0,,0,,0,0,,0,0,0,0,32,0.43980254857142853,0.67643743,0.24328286,,300000,157973,0,811025,,,,,99,10,15,10,4,0,1,10,3,2,1,382,2,1,0,9,2,0,0,0,0,4,-999,1
CR202412070010800000000986,,0,0,,0,,0,0,,0,0,15,6,40,,,,,,,,,,,,,30,30,6,30,4,0,1,10,1,0,1,4252,0,0,0,1,1,0,1,0,0,1,5454,1
CR202412070010800000001334,,2,0,,0,,0,0,,0,0,0,0,32,0.564309718,0.65789474,0.61489759,,125000,8510,0,333510,,,,,99,20,12,20,0,0,2,,3,0,0,2821,0,1,0,5,0,1,0,1,0,1,3628,0
CR202412070010800000001609,,3,0,,0,30,0,0,,0,0,15,6,36,0.7075388600000001,1.0,0.70486397,,500000,202000,0,1912186,,,,,99,30,6,30,0,0,1,,4,3,0,255,3,2,0,3,0,2,0,1,0,4,-999,3
CR202412070010800000001737,,1,0,,0,,0,0,20,0,0,0,-3,46,0.0010366375,0.0082931,0.00195053,,481,481,0,481,,,,,99,20,12,20,0,0,3,,5,0,1,3307,0,0,0,7,3,0,2,0,0,3,-999,1
CR202412070010800000001838,,7,0,,0,,0,0,5,0,0,15,0,28,5.545437499999999,1.58214286,0.41764127,,110750,110750,0,111131,,,,,99,60,0,60,4,0,1,,5,1,0,863,4,0,0,9,0,1,0,1,0,2,-999,1
CR202412070010800000001923,,1,0,,0,,0,0,20,0,0,15,6,36,0.9525,1.0,0.869596,,200000,,,200181,,,,,99,90,0,90,4,0,1,10,5,2,1,1571,2,2,0,9,1,0,0,0,0,3,-999,2
CR202412070010800000002989,,21,0,,0,15,0,0,20,0,0,0,-11,51,0.3310017340909091,0.68180822,0.16178071,,49772,49772,0,277567,,,,,99,20,12,20,4,0,4,,4,3,0,254,3,2,0,9,0,1,0,1,0,4,-999,1
CR202412070010800000003420,,0,0,,0,,0,0,,0,0,15,0,35,0.330266665,0.66053333,0.4954,,9908,9908,0,9908,,,,,50,30,6,30,4,1,2,,2,0,1,985,1,0,1,1,2,0,1,0,0,2,-999,1
CR202412070010800000003592,,2,0,,0,,0,0,,0,0,15,0,33,0.09943092863636363,0.29492,0.09903945,,58984,18289,0,140019,,,,,99,30,6,30,0,0,2,,5,4,1,555,4,1,0,9,1,0,0,0,0,3,-999,1
CR202402070010800000001775,,1,0,,0,,0,0,20,0,0,15,6,38,0.0,0.0,0.0,,0,0,0,0,,,,,99,60,,60,,1,1,,2,0,0,2564,0,1,0,7,0,0,0,0,0,0,-999,0
CR202402070010800000001880,,0,0,,0,,0,0,,0,0,15,6,36,0.0,0.0,0.0,,0,0,0,0,,,,,40,30,,30,,0,1,,2,0,1,3044,1,0,1,1,1,1,1,0,0,0,-999,0
CR202402070010800000002950,,0,0,,0,,0,0,,0,0,15,-11,59,0.0,0.0,0.0,,0,0,0,0,,,,,99,90,,90,,0,1,,2,0,1,968,1,0,1,9,1,0,1,0,0,0,-999,0
CR202402070010800000003111,,4,0,,0,,0,0,20,0,0,30,0,33,0.036,0.00461538,0.00243243,,18,,,18,,,,,99,40,,40,,0,2,,3,1,0,2592,1,1,0,5,0,1,0,1,0,0,1132,0
CR202402070010800000003213,,2,0,,0,,0,0,,0,0,0,0,33,0.1447433592857143,0.74428788,0.25096284,,147369,41876,0,219923,,,,,20,20,,20,,0,2,,5,4,1,412,4,3,2,3,2,1,2,0,0,4,-999,1
CR202402070010800000003433,,1,0,,0,,0,0,20,0,0,15,6,38,,,,,,,,,,,,,,91,,91,,0,1,,1,0,0,1573,0,0,0,9,0,0,0,0,0,-999,-999,-999
CR202406040010800000001090,,6,0,,0,,0,0,20,0,0,15,0,29,0.17759429399999999,0.36231383,0.31063067,,66073,0,0,166006,,,,,99,90,,90,,0,2,10,3,2,0,1038,2,1,0,9,0,0,0,0,0,3,-999,1
CR202406040010800000001135,,0,0,,0,,0,0,,0,0,15,6,40,0.0,0.0,0.0,,0,0,0,0,,,,,99,90,,90,,0,3,,3,0,0,2986,0,0,0,9,0,0,0,0,0,1,3442,0
CR202406040010800000002030,,2,0,,0,,0,0,20,0,0,0,0,33,0.3480267571428572,1.0,0.34527326,,200000,57574,0,471809,,,,,40,20,,20,,0,3,10,5,3,0,993,4,2,0,9,0,2,0,2,0,4,-999,2
CR202406040010800000002315,,1,0,,0,,0,0,,0,0,15,-3,48,0.5,1.0,0.98039216,,150000,0,0,150000,,,,,40,60,,60,,0,2,,4,1,1,1413,1,0,0,9,3,0,2,0,0,0,-999,0
CR202406040010800000002608,,1,0,,0,,0,0,20,0,0,15,6,38,0.22637739666666665,1.0,0.50777961,,200000,1469,0,319793,,,,,99,30,,30,,0,3,10,5,3,0,943,4,2,0,9,0,3,0,2,0,3,5633,2
CR202406040010800000003175,,10,0,,0,,0,0,20,0,0,15,0,34,0.46983771599999996,1.0,0.31896948,,300000,32389,0,897457,,,,,99,20,,20,,0,4,,4,3,1,231,3,3,2,7,3,0,2,0,0,4,-999,1
CR202406040010800000003484,,1,0,,0,,0,0,,0,0,15,2,44,0.033915177500000004,0.10616071,0.02678279,,5945,5945,0,6535,,,,,99,90,,90,,0,2,,5,2,1,1541,3,1,1,9,1,0,1,0,0,4,-999,1
CR202406040010800000004866,,0,0,,0,,0,0,,0,0,30,0,35,0.783091748,0.22049,0.38172975,,44098,44098,10310,288435,,,,,99,91,,91,,0,1,,4,3,1,416,3,1,0,9,1,0,0,0,0,4,-999,2
CR202406040010800000005092,,2,0,,0,,0,0,5,0,0,0,0,28,0.21503012,0.14278,0.05630126,,7139,,,7139,,,,,,20,,20,,0,1,,2,1,1,720,1,1,1,1,1,0,1,0,0,-999,-999,-999
CR202406040010800000006445,,1,0,,0,,0,0,,0,0,15,6,37,0.5055686371428572,0.64,0.34969015,,64000,64000,0,132100,,,,,40,91,,91,,0,1,,4,0,1,981,3,1,0,2,3,0,0,0,0,4,-999,2
CR202409240010800000000297,,1,0,,0,,0,0,,0,0,30,2,42,0.65863335,1.0,0.61657397,,67000,32945,9600,166290,,,,,40,91,,91,,0,1,,5,4,1,462,4,2,1,5,1,1,1,1,0,4,-999,1
CR202409240010800000001228,,4,0,,0,,0,0,,0,0,15,2,44,0.15745949499999998,0.505776,0.18890787,,126444,96336,0,314450,,,,,99,99,,99,,0,3,,5,4,1,356,4,3,2,1,2,0,2,0,0,4,-999,3
CR202409240010800000002166,,19,0,,0,15,0,0,20,0,0,0,0,32,0.6747499437500001,0.5,0.28359632,,100000,59121,0,259097,,,,,50,20,,20,,0,3,,5,4,1,640,4,0,1,9,1,0,1,0,0,4,-999,3
CR202409240010800000002413,,4,0,,0,,0,0,,0,0,0,2,43,0.12,0.96755779,0.09441575,,300000,0,0,740000,,,,,50,20,,20,,0,2,,3,2,1,467,2,3,0,9,1,0,0,0,0,4,-999,2
CR202409240010800000002694,,0,0,,0,,0,0,,0,0,15,2,43,0.3885255222222222,0.66666667,0.41122777,,200000,85331,0,546884,,,,,99,30,,30,,0,3,10,5,4,1,468,4,3,2,1,2,2,2,2,0,4,-999,1
CR202409240010800000003018,,1,0,,0,,0,0,,0,0,15,-3,46,0.4618817907142857,0.8338843,0.55660081,,100900,100900,0,385947,,,,,99,90,,90,,0,1,,4,2,1,1001,3,0,2,11,3,0,2,0,0,4,5745,2
CR202409240010800000003285,,3,0,,0,15,0,0,,0,0,15,2,41,0.2495100876190476,0.66666667,0.39296915,,200000,14573,0,992231,,,,,99,60,,60,,0,2,,5,4,0,437,4,3,0,9,0,0,0,0,0,2,-999,2
CR202409240010800000003370,,1,0,,0,,0,0,,0,0,0,2,43,0.23288846142857142,0.6444759,0.40802425,,320949,1907,0,423978,,,,,99,20,,20,,0,1,,4,0,0,1412,0,0,0,9,0,2,0,0,0,3,5380,1
CR202409240010800000003466,,9,0,,0,,0,0,5,0,0,0,0,32,0.12463924714285714,0.49212598,0.12598949,,62500,5884,0,203039,,,,,50,20,,20,,0,2,,5,3,1,774,4,1,0,2,1,0,0,0,0,4,-999,2
CR202409240010800000003703,,0,0,,0,,0,0,,0,0,0,0,34,0.266667,1.22414,0.29244997,,244828,244828,0,511495,,,,,50,20,,20,,0,1,,4,3,1,626,3,2,1,7,1,1,1,1,0,3,-999,2
CR202409240010800000004447,,1,0,,0,,0,0,20,0,0,0,0,30,0.016,3.2877E-4,1.6096E-4,,48,0,0,48,,,,,99,20,,20,,0,3,,2,0,1,2533,0,0,1,1,2,0,2,0,0,2,-999,1
CR202409240010800000005366,,3,0,,0,,0,0,,0,0,0,0,31,0.59882,0.66666667,0.23617043,,200000,9941,0,389941,,,,,99,10,,10,,0,1,,5,4,1,651,4,1,1,5,1,2,1,2,0,2,4284,1
CR202409240010800000005637,,2,0,,0,15,0,0,,0,0,0,-3,47,0.5899380982352942,1.0,0.59966241,,300000,0,0,1070407,,,,,99,20,,20,,0,2,,5,3,1,1209,3,3,1,7,2,0,1,0,0,4,1728,1
CR202409240010800000005708,,2,0,,0,,0,0,20,0,0,15,-11,52,0.0,0.0,0.0,,0,0,0,0,,,,,99,60,,60,,0,1,,3,0,1,2751,0,1,0,9,2,0,2,0,0,1,6841,1
CR202409240010800000006437,,0,0,,0,,0,0,,0,0,15,-3,48,0.0050705383333333335,0.01845455,0.00392564,,1827,1827,0,2255,,,,,40,30,,30,,0,1,10,5,1,1,1197,2,0,1,1,1,0,1,0,0,4,-999,1
CR202409240010800000006694,,0,0,,0,,0,0,20,0,0,15,0,35,0.12056423666666666,0.72338542,0.07148838,,41667,0,0,41667,,,,,99,30,,30,,0,3,10,5,1,1,1170,3,1,0,5,1,2,0,2,0,4,5380,2
CR202409240010800000009382,,3,0,,0,,0,0,20,0,0,15,0,34,4.61249452,0.02744048,0.00633796,,1383,99,99,1482,,,,,99,60,,60,,0,3,10,5,1,1,1093,4,0,2,1,2,0,2,0,0,4,-999,2
CR202409240010800000010145,,1,0,,0,,0,0,,0,0,15,6,38,0.13896622368421052,1.0,0.66928874,,800000,17583,0,2319730,,,,,10,30,,30,,0,4,10,5,4,1,235,4,2,1,1,1,2,1,0,0,4,3189,1
CR202409240010800000010481,,1,0,,0,,0,0,5,0,0,15,-3,46,0.16421607631578947,0.493175,0.15067013,,39454,39454,0,101627,,,,,99,30,,30,,0,1,,5,3,1,981,4,1,0,2,1,0,0,0,0,4,-999,1
CR202409240010800000011788,,1,0,,0,,0,0,20,0,0,15,2,41,0.0542051525,0.4303125,0.10681029,,6885,6885,0,12147,,,,,40,30,,30,,0,2,,5,1,1,1054,4,0,1,2,2,0,1,0,0,0,1362,0
CR202409170010800000000554,,1,0,,0,,0,0,,0,0,0,6,38,0.6766833742857142,0.921735,0.20881474,,184347,65750,0,541788,,,,,20,10,,10,,0,2,,5,4,1,355,4,4,1,1,3,0,1,0,0,4,-999,2
CR202410140010800000001193,,15,0,,0,,0,0,,0,0,15,2,41,0.19955714,0.66666667,0.05326223,,200000,52849,0,515839,,,,,99,30,,30,,0,3,10,5,3,1,873,4,1,2,7,3,0,2,0,0,4,-999,2
CR202410140010800000001210,,4,0,,0,,0,0,,0,0,15,6,36,0.0034693871428571428,0.0034,2.0537E-4,,680,680,0,680,,,,,10,30,,30,,0,4,10,4,3,1,683,3,1,1,5,1,3,1,3,0,2,-999,1
CR202410140010800000001432,,7,0,,0,,0,0,,0,0,0,6,36,0.36394074111111113,1.0,0.40081447,,300000,20660,0,620660,,,,,99,20,,20,,0,2,10,4,3,0,332,3,1,0,5,0,2,0,2,0,4,4304,3
CR202410140010800000002033,,3,0,,0,,0,0,20,0,0,15,6,38,0.427923505,1.0,0.76176903,,131000,0,0,238663,,,,,99,30,,30,,0,1,,5,1,1,3075,2,2,2,1,2,1,2,0,0,3,-999,3
CR202410140010800000002059,,5,0,,0,15,0,0,,0,0,0,-11,51,0.5827100871428571,1.0,0.28184038,,1000000,151043,0,2264444,,,,,20,20,,20,,0,1,10,5,4,1,588,4,1,2,1,2,2,2,2,0,4,-999,4
CR202410140010800000003031,,6,0,,0,,0,0,,0,0,0,2,41,0.036683174444444445,0.04252,0.00322546,,8504,8504,0,19772,,,,,99,20,,20,,0,4,10,5,4,1,272,4,0,2,1,4,0,2,0,0,4,-999,2
CR202410140010800000003316,,0,0,,0,,0,0,,0,0,0,6,40,0.3821042178571429,1.0,0.38357744,,300000,145644,0,906176,,,,,50,20,,20,,0,2,,4,3,0,414,3,1,0,9,0,0,0,0,0,4,4304,1
CR202410140010800000003806,,0,0,,0,,0,0,,0,0,0,-3,48,0.38001238133333337,1.0,0.56139918,,600000,14036,0,1998873,,,,,10,10,,10,,0,4,,5,4,1,363,4,0,2,1,2,0,2,0,0,4,-999,1
CR202410140010800000006565,,0,0,,0,15,0,0,,0,0,0,0,30,0.549529115,1.0,0.79815477,,300000,39375,0,397082,,,,,99,20,,20,,0,1,,5,0,1,2195,0,0,0,9,1,1,1,0,0,4,-999,2
CR202410140010800000006758,,0,0,,0,15,0,0,,0,0,0,0,34,0.7755511986363637,0.99634333,0.52738968,,298903,168985,0,1968059,,,,,20,20,,20,,0,3,,4,3,1,107,3,5,1,9,1,0,1,0,0,4,1748,2
CR202410140010800000008489,,1,0,,0,,0,0,20,0,0,15,0,30,0.0911188775,0.229425,0.18298278,,45885,0,0,47222,,,,,99,30,,30,,0,2,,1,0,0,3391,0,0,0,9,0,0,0,0,0,0,-999,0
